City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
369,stations,1,200,42.38,-70.98,1580090386,4955993,28.31,,69,1006,,35.29,39.2,30.99,Winthrop,,,,,US,4210.0,1580040218,1580075330,1.0,-18000,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,4.7
370,model,83,200,29.04,114.56,1580090386,1786538,36.07,994.0,80,1025,1025.0,40.96,40.96,40.96,Yining,,,,,CN,,1580080402,1580118900,,28800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",326.0,,3.24
371,model,98,200,-4.28,-55.98,1580090386,3397967,83.35,1000.0,84,1012,1012.0,76.3,76.3,76.3,Itaituba,,,,,BR,,1580032012,1580076335,,-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",49.0,,2.04
372,model,39,200,-23.72,44.38,1580090386,1066310,79.23,991.0,70,1012,1012.0,76.03,76.03,76.03,Betioky,,,,,MG,,1580092620,1580140373,,10800,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",13.0,,4.12
373,model,0,200,20.95,85.22,1580090386,1255143,60.69,998.0,34,1016,1016.0,65.62,65.62,65.62,Talcher,,,,,IN,,1580086649,1580126738,,19800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",327.0,,3.67
374,stations,40,200,16.58,104.5,1580090386,1608595,68.41,,82,1013,,66.2,66.2,66.2,Mukdahan,,,,,TH,9192.0,1580081631,1580122501,1.0,25200,5000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",40.0,,2.24
375,stations,40,200,18.73,-99.68,1580090386,3817354,60.17,,31,1018,,67.12,75.2,57.2,Pilcaya,,,,,MX,7101.0,1580044428,1580084898,1.0,-21600,24140.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",220.0,,6.93
376,stations,0,200,10.96,-74.8,1580090387,3689147,82.96,,74,1012,,81.34,82.4,80.6,Barranquilla,,,,,CO,8584.0,1580037783,1580079599,1.0,-18000,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",350.0,,12.75
377,stations,90,200,55.93,23.32,1580090168,594739,24.39,,92,1013,,33.8,33.8,33.8,Siauliai,,,,,LT,1882.0,1580106690,1580136414,1.0,7200,,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",200.0,,10.29
378,stations,90,200,52.96,4.76,1580090387,2757220,31.19,,93,1005,,45.63,46.99,44.01,Den Helder,,,,,NL,1533.0,1580110375,1580141639,1.0,3600,3200.0,"[{'id': 311, 'main': 'Drizzle', 'description': 'drizzle rain', 'icon': '09n'}]",210.0,,23.04
